// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 037004D1
//  ProductCode: MTi-300-2A5G4
//  Firmware Version: 1.4.1
//  Hardware Version: 2.1.0
// Device settings: 
//  Filter Profile: general(39.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
50373	9475426	-9.814700	-0.073177	0.089576	-0.007585	-0.004040	-0.006253			
50374	9475451	-9.841543	-0.059199	0.088251	-0.010386	-0.002274	-0.004244	-26.335466	88.749771	82.471275
50375	9475476	-9.827773	-0.067920	0.112187	-0.007358	-0.004865	-0.002857			
50376	9475501	-9.834778	-0.066680	0.088204	-0.003126	-0.002724	-0.001447			
50377	9475526	-9.823018	-0.063463	0.105373	-0.006881	-0.001428	-0.000982			
50378	9475551	-9.838205	-0.072926	0.117389	-0.003898	0.003199	-0.006479	-26.349211	88.748520	82.458557
50379	9475576	-9.818392	-0.062765	0.127446	-0.005762	-0.004639	-0.001448			
50380	9475601	-9.840427	-0.048722	0.117945	0.003631	-0.003827	-0.001535			
50381	9475626	-9.808479	-0.088122	0.115900	-0.003679	-0.003378	-0.000040			
50382	9475651	-9.848124	-0.035764	0.105952	-0.009280	0.001955	0.001034	-26.292570	88.748833	82.514046
50383	9475676	-9.830122	-0.069883	0.112118	-0.006238	0.000122	-0.004625			
50384	9475701	-9.839326	-0.057565	0.111231	-0.004826	-0.001581	0.000103			
50385	9475726	-9.822659	-0.055967	0.109222	-0.008793	-0.003798	-0.003235			
50386	9475751	-9.832273	-0.052461	0.116873	-0.000291	0.002420	-0.007649	-26.336567	88.748520	82.470177
50387	9475776	-9.859175	-0.068203	0.108937	-0.002958	-0.001873	0.000614			
50388	9475801	-9.818161	-0.076381	0.116398	-0.004448	-0.001580	-0.001568			
50389	9475826	-9.844976	-0.054108	0.093932	-0.008409	0.002350	-0.003973			
50390	9475851	-9.860431	-0.047949	0.117585	-0.000049	-0.002791	0.000606	-26.312408	88.747894	82.494667
50391	9475876	-9.831460	-0.082824	0.123571	-0.011878	0.002876	-0.002423			
50392	9475901	-9.832507	-0.073242	0.121225	-0.001940	0.000668	0.001970			
50393	9475926	-9.838218	-0.070957	0.115516	-0.003809	0.000364	-0.003029			
50394	9475951	-9.831474	-0.073077	0.106929	-0.007726	-0.007258	-0.000946	-26.290060	88.748520	82.517387
50395	9475976	-9.840250	-0.063455	0.119879	-0.006807	-0.002077	-0.003804			
50396	9476001	-9.855960	-0.064110	0.118987	-0.007202	-0.001898	-0.006172			
50397	9476026	-9.850657	-0.041080	0.142349	-0.002624	0.001885	0.001463			
50398	9476051	-9.817092	-0.058152	0.139429	-0.001377	-0.002742	0.004581	-26.260250	88.749146	82.546913
50399	9476076	-9.850752	-0.064564	0.126127	-0.007501	-0.001885	0.000815			
50400	9476101	-9.844444	-0.064287	0.105512	-0.003532	-0.002678	-0.008817			
50401	9476126	-9.826833	-0.070362	0.120696	-0.009219	0.002022	-0.000571			
50402	9476151	-9.845948	-0.061453	0.112673	0.001185	0.001110	0.001641	-26.258703	88.749458	82.548515
50403	9476176	-9.867551	-0.059775	0.137200	-0.008342	0.002290	-0.001724			
50404	9476201	-9.844417	-0.066133	0.106910	-0.005431	0.001307	-0.001480			
50405	9476226	-9.839069	-0.047420	0.126976	-0.008553	0.000927	-0.003468			
50406	9476251	-9.846282	-0.062525	0.091603	-0.004731	0.002041	0.002949	-26.261761	88.751030	82.546867
50407	9476276	-9.864979	-0.029599	0.122861	-0.007251	-0.003564	0.001323			
50408	9476301	-9.870553	-0.052334	0.146351	-0.005582	0.000080	-0.001419			
50409	9476326	-9.834538	-0.063830	0.121279	-0.005117	-0.002496	0.000098			
50410	9476351	-9.835146	-0.046094	0.105930	-0.004213	-0.002936	-0.003430	-26.218027	88.750084	82.591438
50411	9476376	-9.840841	-0.054410	0.119756	-0.008973	0.004156	-0.000240			
50412	9476401	-9.855765	-0.072405	0.104608	-0.007248	-0.002083	-0.001492			
50413	9476426	-9.838878	-0.059665	0.122278	-0.008169	-0.005332	-0.001641			
50414	9476451	-9.820241	-0.060212	0.112548	-0.002664	-0.001095	-0.000930	-26.193350	88.750717	82.617035
50415	9476476	-9.837336	-0.068606	0.121730	-0.004755	0.002424	-0.000961			
50416	9476501	-9.825598	-0.097074	0.129384	-0.007343	-0.002730	0.000744			
50417	9476526	-9.834109	-0.059606	0.121205	-0.002617	0.001222	-0.005594			
50418	9476551	-9.845793	-0.042748	0.127487	-0.004521	0.001000	-0.001872	-26.205545	88.751335	82.604973
50419	9476576	-9.847665	-0.078170	0.115135	-0.007434	-0.002347	-0.002262			
50420	9476601	-9.864676	-0.040622	0.096936	-0.006689	0.000641	-0.001672			
50421	9476626	-9.826992	-0.060052	0.124615	-0.006796	-0.004406	-0.004521			
50422	9476651	-9.852759	-0.041823	0.095506	-0.001565	-0.003466	0.000091	-26.189398	88.750397	82.621857
50423	9476676	-9.812078	-0.076138	0.133152	-0.004826	-0.003985	-0.005490			
50424	9476701	-9.839797	-0.064919	0.127502	-0.004850	-0.000809	-0.001049			
50425	9476726	-9.824739	-0.089489	0.128420	-0.007977	-0.001585	-0.004442			
50426	9476751	-9.818671	-0.073093	0.114892	-0.002740	0.001025	-0.005792	-26.234074	88.749458	82.577492
50427	9476776	-9.869051	-0.049658	0.127665	-0.008091	-0.001644	-0.001873			
50428	9476801	-9.877073	-0.043256	0.103206	-0.004476	0.001387	-0.004819			
50429	9476826	-9.820044	-0.077814	0.116345	-0.006105	0.000589	0.000052			
50430	9476851	-9.856503	-0.054499	0.112798	-0.004581	-0.003006	0.000420	-26.224997	88.749771	82.587700
50431	9476876	-9.843050	-0.064328	0.111690	-0.002864	0.000829	-0.005147			
50432	9476901	-9.835352	-0.068399	0.109233	0.001638	0.002861	0.001074			
50433	9476926	-9.813664	-0.090033	0.110088	-0.006236	0.002190	-0.006735			
50434	9476951	-9.841220	-0.073825	0.143798	-0.003242	0.000629	-0.005212	-26.298735	88.750084	82.513313
50435	9476976	-9.843284	-0.056057	0.132316	-0.009274	-0.000758	-0.002253			
50436	9477001	-9.832466	-0.065830	0.098210	-0.010441	0.002129	0.000010			
50437	9477026	-9.825486	-0.066711	0.126928	-0.007789	0.002876	-0.004804			
50438	9477051	-9.833728	-0.086937	0.113124	-0.006440	-0.003229	-0.000800	-26.311159	88.751030	82.502350
50439	9477076	-9.841561	-0.073933	0.121745	0.001800	0.001374	-0.003165			
50440	9477101	-9.843384	-0.076719	0.114575	-0.006059	0.000575	-0.006294			
50441	9477126	-9.834790	-0.072555	0.102553	-0.011276	-0.002149	-0.001039			
50442	9477151	-9.840657	-0.062268	0.106337	-0.006621	0.004713	0.000590	-26.344837	88.751335	82.470093
50443	9477176	-9.850131	-0.067138	0.107001	-0.006908	-0.004598	-0.000611			
50444	9477201	-9.835439	-0.067124	0.119887	-0.004308	-0.003834	0.000152			
50445	9477226	-9.820722	-0.062197	0.116939	-0.003010	-0.006598	-0.001660			
50446	9477251	-9.816420	-0.062565	0.116347	-0.006054	-0.001216	0.000873	-26.266539	88.750397	82.548286
50447	9477276	-9.843467	-0.072930	0.120389	-0.008984	-0.003918	-0.000539			
50448	9477301	-9.843742	-0.081253	0.104493	-0.003091	0.000452	0.001261			
50449	9477326	-9.834441	-0.081771	0.141443	-0.006281	-0.004725	-0.006899			
50450	9477351	-9.839243	-0.064196	0.112163	-0.004454	-0.001186	-0.000025	-26.238062	88.749771	82.577774
50451	9477376	-9.856425	-0.069543	0.128984	-0.001761	0.002202	-0.007316			
50452	9477401	-9.832938	-0.079563	0.126504	-0.005595	0.002405	-0.001985			
50453	9477426	-9.832705	-0.073362	0.151418	-0.004643	0.002477	-0.006030			
50454	9477451	-9.818344	-0.092818	0.101048	-0.004473	-0.001007	-0.005865	-26.341816	88.749931	82.473907
50455	9477476	-9.857504	-0.056605	0.122812	-0.007275	0.000559	-0.005643			
50456	9477501	-9.861096	-0.040125	0.132480	-0.005677	-0.007153	0.000335			
50457	9477526	-9.828258	-0.041260	0.138012	-0.009197	-0.001152	-0.002381			
50458	9477551	-9.835219	-0.054570	0.136587	-0.002855	-0.001094	-0.000286	-26.325144	88.749771	82.490448
50459	9477576	-9.849792	-0.055750	0.106008	-0.006047	-0.003487	-0.001444			
50460	9477601	-9.831256	-0.060511	0.122201	-0.004597	-0.000486	0.000300			
50461	9477626	-9.826851	-0.061681	0.105866	0.000383	-0.000332	-0.003240			
50462	9477651	-9.831053	-0.069794	0.108275	-0.006586	0.001286	-0.002952	-26.320301	88.749931	82.495033
50463	9477676	-9.850532	-0.068943	0.099318	-0.004579	-0.001454	-0.001816			
50464	9477701	-9.861933	-0.049157	0.130517	-0.004196	-0.005388	-0.002418			
50465	9477726	-9.808933	-0.052097	0.115355	-0.008605	0.000344	-0.003406			
50466	9477751	-9.840941	-0.041965	0.113125	-0.004916	-0.000550	0.001390	-26.298677	88.749458	82.517738
50467	9477776	-9.844410	-0.067520	0.107402	-0.002837	-0.001739	0.000288			
50468	9477801	-9.838474	-0.042160	0.098739	-0.004262	0.001271	0.001916			
50469	9477826	-9.842359	-0.049798	0.124651	-0.003886	-0.002930	-0.001574			
50470	9477851	-9.853029	-0.038643	0.134738	-0.000228	-0.001046	0.000416	-26.239861	88.749611	82.576042
50471	9477876	-9.849853	-0.056414	0.117511	0.000821	-0.002202	-0.003825			
50472	9477901	-9.838319	-0.070706	0.129890	-0.002798	0.000964	-0.003476			
50473	9477926	-9.830910	-0.057894	0.139474	-0.007209	-0.001240	-0.002578			
50474	9477951	-9.852129	-0.056180	0.101188	-0.009565	0.000525	-0.001477	-26.263388	88.749771	82.552177
50475	9477976	-9.860956	-0.037855	0.103652	-0.006689	-0.001691	-0.005019			
50476	9478001	-9.870398	-0.040130	0.095569	-0.004788	-0.002871	0.000356			
50477	9478026	-9.832215	-0.058550	0.120284	-0.004181	-0.001571	0.001256			
50478	9478051	-9.815997	-0.067134	0.132692	-0.004804	-0.002241	-0.001693	-26.230543	88.749298	82.585548
50479	9478076	-9.847868	-0.055185	0.101159	-0.003155	0.000054	-0.004449			
50480	9478101	-9.847683	-0.034404	0.107885	-0.009227	0.001884	-0.004031			
50481	9478126	-9.841090	-0.059720	0.093468	-0.011015	-0.000146	-0.000967			
50482	9478151	-9.849292	-0.059035	0.108408	-0.005755	-0.002435	0.001641	-26.238142	88.749146	82.580215
50483	9478176	-9.851414	-0.048484	0.123693	-0.011849	-0.000103	-0.004041			
50484	9478201	-9.848985	-0.057152	0.131437	-0.003016	-0.004733	-0.007609			
50485	9478226	-9.821665	-0.060270	0.112534	-0.002687	-0.000522	-0.003748			
50486	9478251	-9.864932	-0.063564	0.107529	-0.002438	-0.000578	-0.003673	-26.294640	88.748833	82.522690
50487	9478276	-9.856070	-0.055542	0.121328	-0.002226	0.001568	0.002104			
50488	9478301	-9.853011	-0.065765	0.107439	-0.004403	0.001134	-0.002763			
50489	9478326	-9.839666	-0.080313	0.137587	-0.001472	-0.000565	-0.002722			
50490	9478351	-9.850043	-0.079203	0.118489	-0.004718	-0.001270	-0.003098	-26.296875	88.748833	82.520943
50491	9478376	-9.864992	-0.063726	0.118035	-0.009380	0.000657	-0.002885			
50492	9478401	-9.848499	-0.057559	0.130925	-0.007389	-0.001639	-0.003482			
50493	9478426	-9.821349	-0.058716	0.134608	-0.005917	-0.001614	-0.003298			
50494	9478451	-9.831755	-0.053226	0.111713	-0.001426	-0.003721	-0.000681	-26.300974	88.748520	82.517227
50495	9478476	-9.867686	-0.050829	0.141998	-0.003426	0.000893	-0.002775			
50496	9478501	-9.812647	-0.064101	0.124988	-0.002065	-0.001605	0.000669			
50497	9478526	-9.821343	-0.061631	0.139881	-0.001812	-0.000054	-0.003611			
50498	9478551	-9.845865	-0.070614	0.117415	-0.006005	0.005300	-0.004534	-26.335571	88.749771	82.481659
50499	9478576	-9.848022	-0.091054	0.124169	-0.007601	0.001344	0.000514			
50500	9478601	-9.826018	-0.055086	0.110077	-0.004642	0.006810	-0.004275			
50501	9478626	-9.835452	-0.060319	0.108302	-0.011022	-0.000077	-0.000831			
50502	9478651	-9.826279	-0.083900	0.135577	-0.006093	0.002138	-0.002116	-26.367409	88.751495	82.451012
50503	9478676	-9.854314	-0.075204	0.108879	-0.003025	0.002916	0.004104			
50504	9478701	-9.839791	-0.057127	0.110714	-0.003788	0.001983	-0.002442			
50505	9478726	-9.810350	-0.081195	0.095740	-0.009057	-0.003600	-0.002401			
50506	9478751	-9.816114	-0.081943	0.106340	-0.009006	-0.003220	-0.003487	-26.349182	88.751335	82.471207
50507	9478776	-9.862793	-0.081982	0.105103	-0.005116	-0.002563	-0.002210			
50508	9478801	-9.826191	-0.077321	0.109164	-0.007924	0.003400	-0.001913			
50509	9478826	-9.844418	-0.071998	0.117360	-0.006174	0.006789	-0.002412			
50510	9478851	-9.837328	-0.057854	0.097352	-0.007297	-0.002934	-0.005344	-26.395067	88.752281	82.426262
