// General information: 
//  MT Manager version: 2022.0.0 
//  XDA version: 2022.0.0 build 7085 rev 119802 built on 2022-11-08
// Device information: 
//  DeviceId: 037004D1
//  ProductCode: MTi-300-2A5G4
//  Firmware Version: 1.4.1
//  Hardware Version: 2.1.0
// Device settings: 
//  Filter Profile: general(39.16)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw
20348	8724801	-0.221116	9.845453	-0.170458	-0.004105	0.001007	-0.002962			
20349	8724826	-0.238241	9.859366	-0.194296	-0.007316	-0.002792	-0.002395			
20350	8724851	-0.231260	9.869853	-0.191914	-0.008482	-0.000232	-0.003152	91.205124	0.844139	13.167185
20351	8724876	-0.239125	9.879482	-0.176604	-0.003405	0.003216	-0.002822			
20352	8724901	-0.230741	9.863133	-0.186205	-0.007723	-0.000089	-0.002891			
20353	8724926	-0.224303	9.853406	-0.196818	-0.003228	-0.000390	-0.000660			
20354	8724951	-0.243730	9.878232	-0.191932	-0.003000	0.002646	-0.001025	91.205345	0.844130	13.168234
20355	8724976	-0.213735	9.871139	-0.169153	0.000775	-0.001088	0.002722			
20356	8725001	-0.229420	9.877111	-0.200133	-0.004016	0.004433	-0.000890			
20357	8725026	-0.206655	9.845156	-0.200712	-0.005910	0.003298	-0.005381			
20358	8725051	-0.239718	9.867166	-0.209203	-0.002554	0.000322	-0.004372	91.206421	0.844192	13.169508
20359	8725076	-0.234454	9.898265	-0.191048	-0.002995	0.000513	0.000498			
20360	8725101	-0.219572	9.844732	-0.183898	-0.003085	-0.003240	-0.003110			
20361	8725126	-0.213314	9.852234	-0.204042	-0.005393	-0.002564	0.000744			
20362	8725151	-0.214265	9.856033	-0.204963	-0.008546	-0.006294	0.002143	91.206230	0.843137	13.168135
20363	8725176	-0.228811	9.865361	-0.205867	-0.006066	-0.002135	-0.006500			
20364	8725201	-0.229637	9.858640	-0.201994	-0.006747	-0.000589	-0.003283			
